month_start,country_code,expansion_mrr_eur,complete_through_month,data_loaded_at_utc,quality_status
2025-01-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-01-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,SE,510,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,AT,390,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,AT,170,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,CH,520,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,DE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,CH,100,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,DE,185,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,GB,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,NL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,PL,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,SE,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,AT,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,CH,0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,DE,970,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,FR,0,2026-06-01,2026-07-01T06:00:00Z,passing
