period_start,period_end_exclusive,customer_segment,starting_accounts,churned_accounts,logo_churn_rate_pct,complete_through_month,data_loaded_at_utc,quality_status
2025-04-01,2025-07-01,Enterprise,8,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,2025-07-01,Mid-Market,9,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,2025-07-01,SMB,8,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,2025-10-01,Enterprise,16,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,2025-10-01,Mid-Market,17,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,2025-10-01,SMB,17,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,2026-01-01,Enterprise,25,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,2026-01-01,Mid-Market,25,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,2026-01-01,SMB,25,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,2026-04-01,Enterprise,33,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,2026-04-01,Mid-Market,34,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,2026-04-01,SMB,33,0,0.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,2026-07-01,Enterprise,40,4,10.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,2026-07-01,Mid-Market,40,4,10.0,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,2026-07-01,SMB,40,4,10.0,2026-06-01,2026-07-01T06:00:00Z,passing
