datum;kennzeichen;produkt;menge;einheit;betrag_eur
02.01.2025;XX-KP 101;Diesel;52,37;l;86,41
02.01.2025;XX-KP 102;Diesel;61,18;l;100,95
02.01.2025;XX-KP 103;Diesel;48,90;l;80,69
03.01.2025;XX-KP 104;Diesel;57,45;l;94,79
03.01.2025;XX-KP 105;Diesel;63,02;l;103,98
04.01.2025;XX-KP 106;Diesel;55,11;l;90,93
04.01.2025;XX-KP 107;Diesel;49,76;l;82,10
05.01.2025;XX-KP 108;Diesel;60,34;l;99,56
05.01.2025;XX-KP 109;Diesel;58,23;l;96,08
06.01.2025;XX-KP 110;Diesel;54,69;l;90,24
06.01.2025;XX-KP 111;Diesel;52,37;l;86,41
07.01.2025;XX-KP 112;Diesel;61,18;l;100,95
07.01.2025;XX-KP 113;Diesel;48,90;l;80,69
08.01.2025;XX-KP 114;Diesel;57,45;l;94,79
08.01.2025;XX-KP 101;Diesel;63,02;l;103,98
09.01.2025;XX-KP 102;Diesel;55,11;l;90,93
09.01.2025;XX-KP 103;Diesel;49,76;l;82,10
09.01.2025;XX-KP 104;Diesel;60,34;l;99,56
10.01.2025;XX-KP 105;Diesel;58,23;l;96,08
10.01.2025;XX-KP 106;Diesel;54,69;l;90,24
10.01.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.01.2025;XX-KP 107;Diesel;52,37;l;86,41
11.01.2025;XX-KP 108;Diesel;61,18;l;100,95
12.01.2025;XX-KP 109;Diesel;48,90;l;80,69
12.01.2025;XX-KP 110;Diesel;57,45;l;94,79
12.01.2025;XX-KP 104;Waesche;1;Stk;12,90
13.01.2025;XX-KP 111;Diesel;63,02;l;103,98
13.01.2025;XX-KP 112;Diesel;55,11;l;90,93
14.01.2025;XX-KP 113;Diesel;49,76;l;82,10
14.01.2025;XX-KP 114;Diesel;60,34;l;99,56
15.01.2025;XX-KP 101;Diesel;58,23;l;96,08
15.01.2025;XX-KP 102;Diesel;54,69;l;90,24
15.01.2025;XX-KP 106;Shop;1;Stk;8,49
16.01.2025;XX-KP 103;Diesel;52,37;l;86,41
16.01.2025;XX-KP 104;Diesel;61,18;l;100,95
16.01.2025;XX-KP 105;Diesel;48,90;l;80,69
17.01.2025;XX-KP 106;Diesel;57,45;l;94,79
17.01.2025;XX-KP 107;Diesel;63,02;l;103,98
17.01.2025;XX-KP 105;Waesche;1;Stk;12,90
18.01.2025;XX-KP 108;Diesel;55,11;l;90,93
18.01.2025;XX-KP 109;Diesel;49,76;l;82,10
19.01.2025;XX-KP 110;Diesel;60,34;l;99,56
19.01.2025;XX-KP 111;Diesel;58,23;l;96,08
20.01.2025;XX-KP 112;Diesel;54,69;l;90,24
20.01.2025;XX-KP 113;Diesel;52,37;l;86,41
20.01.2025;XX-KP 102;AdBlue;50,00;l;45,00
21.01.2025;XX-KP 114;Diesel;61,18;l;100,95
21.01.2025;XX-KP 101;Diesel;48,90;l;80,69
22.01.2025;XX-KP 102;Diesel;57,45;l;94,79
22.01.2025;XX-KP 103;Diesel;63,02;l;103,98
23.01.2025;XX-KP 104;Diesel;55,11;l;90,93
23.01.2025;XX-KP 105;Diesel;49,76;l;82,10
23.01.2025;XX-KP 106;Diesel;60,34;l;99,56
24.01.2025;XX-KP 107;Diesel;58,23;l;96,08
24.01.2025;XX-KP 108;Diesel;54,69;l;90,24
25.01.2025;XX-KP 109;Diesel;52,37;l;86,41
25.01.2025;XX-KP 110;Diesel;61,18;l;100,95
26.01.2025;XX-KP 111;Diesel;48,90;l;80,69
26.01.2025;XX-KP 112;Diesel;57,45;l;94,79
27.01.2025;XX-KP 113;Diesel;63,02;l;103,98
27.01.2025;XX-KP 114;Diesel;55,11;l;90,93
28.01.2025;XX-KP 101;Diesel;49,76;l;82,10
28.01.2025;XX-KP 102;Diesel;60,34;l;99,56
29.01.2025;XX-KP 103;Diesel;46,62;l;76,92
02.02.2025;XX-KP 101;Diesel;52,37;l;86,41
02.02.2025;XX-KP 102;Diesel;61,18;l;100,95
02.02.2025;XX-KP 103;Diesel;48,90;l;80,69
03.02.2025;XX-KP 104;Diesel;57,45;l;94,79
03.02.2025;XX-KP 105;Diesel;63,02;l;103,98
04.02.2025;XX-KP 106;Diesel;55,11;l;90,93
04.02.2025;XX-KP 107;Diesel;49,76;l;82,10
05.02.2025;XX-KP 108;Diesel;60,34;l;99,56
05.02.2025;XX-KP 109;Diesel;58,23;l;96,08
06.02.2025;XX-KP 110;Diesel;54,69;l;90,24
06.02.2025;XX-KP 111;Diesel;52,37;l;86,41
07.02.2025;XX-KP 112;Diesel;61,18;l;100,95
07.02.2025;XX-KP 113;Diesel;48,90;l;80,69
08.02.2025;XX-KP 114;Diesel;57,45;l;94,79
08.02.2025;XX-KP 101;Diesel;63,02;l;103,98
09.02.2025;XX-KP 102;Diesel;55,11;l;90,93
09.02.2025;XX-KP 103;Diesel;49,76;l;82,10
09.02.2025;XX-KP 104;Diesel;60,34;l;99,56
10.02.2025;XX-KP 105;Diesel;58,23;l;96,08
10.02.2025;XX-KP 106;Diesel;54,69;l;90,24
10.02.2025;XX-KP 101;AdBlue;50,00;l;45,00
11.02.2025;XX-KP 107;Diesel;52,37;l;86,41
11.02.2025;XX-KP 108;Diesel;61,18;l;100,95
12.02.2025;XX-KP 109;Diesel;48,90;l;80,69
12.02.2025;XX-KP 110;Diesel;57,45;l;94,79
12.02.2025;XX-KP 104;Waesche;1;Stk;12,90
