datum;zaehler;wandlerfaktor;stand_kwh;erfasst_von
31.12.2024;DE0005678900WN01;1;3162300;Haustechnik
31.01.2025;DE0005678900WN01;1;3372300;Haustechnik
28.02.2025;DE0005678900WN01;1;3567300;Haustechnik
31.03.2025;DE0005678900WN01;1;3772300;Haustechnik
30.04.2025;DE0005678900WN01;1;3962300;Haustechnik
31.05.2025;DE0005678900WN01;1;4147300;Haustechnik
30.06.2025;DE0005678900WN01;1;4327300;Haustechnik
31.07.2025;DE0005678900WN01;1;4502300;Haustechnik
31.08.2025;DE0005678900WN01;1;4622300;Haustechnik
30.09.2025;DE0005678900WN01;1;4812300;Haustechnik
31.10.2025;DE0005678900WN01;1;5012300;Haustechnik
31.12.2025;DE0005678900WN01;1;5422300;Haustechnik
