week_start,units
2024-01-01,375
2024-01-08,377
2024-01-15,383
2024-01-22,418
2024-01-29,398
2024-02-05,362
2024-02-12,436
2024-02-19,429
2024-02-26,446
2024-03-04,473
2024-03-11,494
2024-03-18,544
2024-03-25,545
2024-04-01,545
2024-04-08,534
2024-04-15,543
2024-04-22,604
2024-04-29,657
2024-05-06,630
2024-05-13,640
2024-05-20,675
2024-05-27,619
2024-06-03,669
2024-06-10,704
2024-06-17,724
2024-06-24,691
2024-07-01,714
2024-07-08,711
2024-07-15,727
2024-07-22,659
2024-07-29,711
2024-08-05,633
2024-08-12,587
2024-08-19,645
2024-08-26,623
2024-09-02,671
2024-09-09,650
2024-09-16,571
2024-09-23,626
2024-09-30,548
2024-10-07,564
2024-10-14,542
2024-10-21,541
2024-10-28,552
2024-11-04,628
2024-11-11,606
2024-11-18,606
2024-11-25,591
2024-12-02,547
2024-12-09,538
2024-12-16,543
2024-12-23,575
2024-12-30,550
2025-01-06,545
2025-01-13,443
2025-01-20,440
2025-01-27,512
2025-02-03,544
2025-02-10,525
2025-02-17,550
2025-02-24,585
2025-03-03,549
2025-03-10,521
2025-03-17,569
2025-03-24,638
2025-03-31,575
2025-04-07,644
2025-04-14,669
2025-04-21,668
2025-04-28,720
2025-05-05,731
2025-05-12,805
2025-05-19,761
2025-05-26,731
2025-06-02,743
2025-06-09,743
2025-06-16,810
2025-06-23,763
2025-06-30,782
2025-07-07,811
2025-07-14,759
2025-07-21,771
2025-07-28,713
2025-08-04,731
2025-08-11,740
2025-08-18,763
2025-08-25,778
2025-09-01,724
2025-09-08,719
2025-09-15,702
2025-09-22,718
2025-09-29,696
2025-10-06,660
2025-10-13,601
2025-10-20,651
2025-10-27,620
2025-11-03,731
2025-11-10,676
2025-11-17,733
2025-11-24,646
2025-12-01,705
2025-12-08,650
2025-12-15,625
2025-12-22,602
