id,seg,country,plan,status,status_dt
1,Mid-Market,AT,Growth,A,2025-01-08
2,SMB,CH,Starter,A,2025-01-15
3,Enterprise,DE,Scale,A,2025-01-02
4,Mid-Market,FR,Growth,A,2025-01-09
5,SMB,GB,Starter,A,2025-01-16
6,Enterprise,PL,Enterprise,A,2025-01-03
7,Mid-Market,NL,Growth,A,2025-01-10
8,SMB,PL,Starter,A,2025-01-17
9,Enterprise,SE,Scale,C,2026-05-12
10,Mid-Market,AT,Growth,A,2025-02-11
11,SMB,CH,Starter,A,2025-02-18
12,Enterprise,DE,Scale,A,2025-02-05
13,Mid-Market,FR,Growth,A,2025-02-12
14,SMB,GB,Starter,A,2025-02-19
15,Enterprise,NL,Scale,A,2025-02-06
16,Mid-Market,PL,Growth,A,2025-02-13
17,SMB,SE,Starter,A,2025-02-20
18,Enterprise,AT,Scale,A,2025-03-07
19,Mid-Market,CH,Growth,A,2025-03-14
20,SMB,DE,Starter,A,2025-03-01
21,Enterprise,FR,Scale,C,2026-04-08
22,Mid-Market,GB,Growth,A,2025-03-15
23,SMB,NL,Starter,A,2025-03-02
24,Enterprise,PL,Scale,A,2025-03-09
25,Mid-Market,SE,Growth,C,2026-05-20
26,SMB,AT,Starter,C,2026-05-23
27,Enterprise,CH,Scale,A,2025-04-10
28,Mid-Market,DE,Growth,A,2025-04-17
29,SMB,FR,Starter,A,2025-04-04
30,Enterprise,GB,Scale,A,2025-04-11
31,Mid-Market,NL,Growth,A,2025-04-18
32,SMB,PL,Starter,A,2025-04-05
33,Enterprise,DE,Enterprise,A,2025-04-12
34,Mid-Market,SE,Growth,A,2025-04-19
35,SMB,AT,Starter,A,2025-05-06
36,Enterprise,CH,Scale,A,2025-05-13
37,Mid-Market,DE,Growth,A,2025-05-20
38,SMB,FR,Starter,A,2025-05-07
39,Enterprise,GB,Scale,A,2025-05-14
40,Mid-Market,NL,Growth,A,2025-05-01
41,SMB,PL,Starter,C,2026-04-08
42,Enterprise,AT,Enterprise,A,2025-05-15
43,Mid-Market,SE,Growth,A,2025-06-02
44,SMB,AT,Starter,A,2025-06-09
45,Enterprise,CH,Scale,A,2025-06-16
46,Mid-Market,DE,Growth,A,2025-06-03
47,SMB,FR,Starter,A,2025-06-10
48,Enterprise,GB,Scale,A,2025-06-17
49,Mid-Market,NL,Growth,A,2025-06-04
50,SMB,PL,Starter,A,2025-06-11
51,Enterprise,SE,Scale,C,2026-05-18
52,Mid-Market,AT,Growth,A,2025-07-05
53,SMB,CH,Starter,A,2025-07-12
54,Enterprise,DE,Scale,A,2025-07-19
55,Mid-Market,FR,Growth,C,2026-05-10
56,SMB,GB,Starter,C,2026-05-13
57,Enterprise,NL,Scale,A,2025-07-20
58,Mid-Market,PL,Growth,A,2025-07-07
59,SMB,SE,Starter,A,2025-07-14
60,Enterprise,NL,Enterprise,A,2025-08-01
61,Mid-Market,AT,Growth,A,2025-08-08
62,SMB,CH,Starter,A,2025-08-15
63,Enterprise,DE,Scale,A,2025-08-02
64,Mid-Market,FR,Growth,A,2025-08-09
65,SMB,GB,Starter,A,2025-08-16
66,Enterprise,NL,Scale,A,2025-08-03
67,Mid-Market,PL,Growth,A,2025-08-10
68,SMB,SE,Starter,A,2025-09-17
69,Enterprise,FR,Enterprise,A,2025-09-04
70,Mid-Market,AT,Growth,A,2025-09-11
71,SMB,CH,Starter,A,2025-09-18
72,Enterprise,DE,Scale,C,2026-06-21
73,Mid-Market,FR,Growth,C,2026-06-24
74,SMB,GB,Starter,C,2026-06-07
75,Enterprise,NL,Scale,A,2025-09-06
76,Mid-Market,PL,Growth,A,2025-10-13
77,SMB,SE,Starter,A,2025-10-20
78,Enterprise,PL,Enterprise,A,2025-10-07
79,Mid-Market,AT,Growth,A,2025-10-14
80,SMB,CH,Starter,A,2025-10-01
81,Enterprise,DE,Scale,A,2025-10-08
82,Mid-Market,FR,Growth,A,2025-10-15
83,SMB,GB,Starter,A,2025-10-02
84,Enterprise,NL,Scale,A,2025-10-09
85,Mid-Market,PL,Growth,A,2025-11-16
86,SMB,SE,Starter,A,2025-11-03
87,Enterprise,SE,Enterprise,A,2025-11-10
88,Mid-Market,AT,Growth,A,2025-11-17
89,SMB,CH,Starter,A,2025-11-04
90,Enterprise,DE,Scale,A,2025-11-11
91,Mid-Market,FR,Growth,A,2025-11-18
92,SMB,GB,Starter,A,2025-11-05
93,Enterprise,NL,Scale,A,2025-12-12
94,Mid-Market,PL,Growth,A,2025-12-19
95,SMB,SE,Starter,A,2025-12-06
96,Enterprise,AT,Scale,A,2025-12-13
97,Mid-Market,CH,Growth,A,2025-12-20
98,SMB,DE,Starter,A,2025-12-07
99,Enterprise,FR,Scale,A,2025-12-14
100,Mid-Market,GB,Growth,C,2026-04-05
101,SMB,NL,Starter,A,2026-01-08
102,Enterprise,PL,Scale,A,2026-01-15
103,Mid-Market,SE,Growth,A,2026-01-02
104,SMB,AT,Starter,A,2026-01-09
105,Enterprise,CH,Scale,A,2026-02-16
106,Mid-Market,DE,Growth,A,2026-02-03
107,SMB,FR,Starter,A,2026-02-10
108,Enterprise,GB,Scale,A,2026-02-17
109,Mid-Market,NL,Growth,A,2026-03-04
110,SMB,PL,Starter,A,2026-03-11
111,Enterprise,SE,Scale,A,2026-03-18
112,Mid-Market,AT,Growth,A,2026-03-05
113,SMB,CH,Starter,A,2026-03-12
114,Enterprise,AT,Enterprise,A,2026-03-19
115,Mid-Market,DE,Growth,A,2026-03-06
116,SMB,FR,Starter,A,2026-03-13
117,Enterprise,GB,Scale,A,2026-03-20
118,Mid-Market,NL,Growth,A,2026-03-07
119,SMB,PL,Starter,A,2026-03-14
120,Enterprise,SE,Scale,A,2026-03-01
121,Mid-Market,AT,Growth,N,2026-04-08
122,SMB,CH,Starter,N,2026-04-15
123,Enterprise,CH,Enterprise,N,2026-06-02
124,Mid-Market,DE,Growth,N,2026-04-09
125,SMB,FR,Starter,N,2026-04-16
126,Enterprise,GB,Scale,N,2026-04-03
127,Mid-Market,NL,Growth,N,2026-05-10
128,SMB,PL,Starter,N,2026-05-17
129,Enterprise,SE,Scale,N,2026-04-04
130,Mid-Market,AT,Growth,N,2026-05-11
131,SMB,CH,Starter,N,2026-05-18
132,Enterprise,NL,Enterprise,N,2026-06-05
133,Mid-Market,DE,Growth,N,2026-06-12
134,SMB,FR,Starter,N,2026-06-19
135,Enterprise,GB,Scale,N,2026-05-06
136,Mid-Market,NL,Growth,N,2026-06-13
137,SMB,PL,Starter,N,2026-06-20
138,Enterprise,SE,Scale,N,2026-05-07
139,Mid-Market,CH,Growth,N,2026-06-14
140,SMB,DE,Starter,N,2026-06-01
141,Enterprise,FR,Scale,N,2026-06-08
142,Mid-Market,GB,Growth,N,2026-06-15
143,SMB,SE,Starter,N,2026-06-02
144,Enterprise,GB,Scale,N,2026-06-09
