month_start,ending_mrr_eur,new_mrr_eur,expansion_mrr_eur,contraction_mrr_eur,churned_mrr_eur,net_new_mrr_eur,active_accounts,complete_through_month,data_loaded_at_utc,quality_status
2025-01-01,23545,23545,0,0,0,23545,9,2026-06-01,2026-07-01T06:00:00Z,passing
2025-02-01,40590,16625,510,90,0,17045,17,2026-06-01,2026-07-01T06:00:00Z,passing
2025-03-01,61480,20670,390,170,0,20890,25,2026-06-01,2026-07-01T06:00:00Z,passing
2025-04-01,84225,22875,170,300,0,22745,34,2026-06-01,2026-07-01T06:00:00Z,passing
2025-05-01,106630,21980,520,95,0,22405,42,2026-06-01,2026-07-01T06:00:00Z,passing
2025-06-01,123015,16285,285,185,0,16385,50,2026-06-01,2026-07-01T06:00:00Z,passing
2025-07-01,145390,21075,1895,595,0,22375,59,2026-06-01,2026-07-01T06:00:00Z,passing
2025-08-01,167965,21840,840,105,0,22575,67,2026-06-01,2026-07-01T06:00:00Z,passing
2025-09-01,190110,21355,1130,340,0,22145,75,2026-06-01,2026-07-01T06:00:00Z,passing
2025-10-01,213720,22160,2135,685,0,23610,84,2026-06-01,2026-07-01T06:00:00Z,passing
2025-11-01,234605,19515,2120,750,0,20885,92,2026-06-01,2026-07-01T06:00:00Z,passing
2025-12-01,258785,23450,1415,685,0,24180,100,2026-06-01,2026-07-01T06:00:00Z,passing
2026-01-01,272995,13520,1195,505,0,14210,104,2026-06-01,2026-07-01T06:00:00Z,passing
2026-02-01,294475,19910,2565,995,0,21480,108,2026-06-01,2026-07-01T06:00:00Z,passing
2026-03-01,354635,48060,12880,780,0,60160,120,2026-06-01,2026-07-01T06:00:00Z,passing
2026-04-01,334675,9255,2750,21845,10120,-19960,123,2026-06-01,2026-07-01T06:00:00Z,passing
2026-05-01,344450,21900,3850,2645,13330,9775,123,2026-06-01,2026-07-01T06:00:00Z,passing
2026-06-01,387015,44780,6295,830,7680,42565,132,2026-06-01,2026-07-01T06:00:00Z,passing
